Statefip	County	SMSA	tract1	jurcode	borderno	block1	tierno	oddshape	tracks	pairno	pop_tot_block	flaggq	perund18	pernoplumb	persingfam	valprm	lnvalprm	house_ownocc	rentprm	lnrentprm	perblack	house_rent	peroo
39	113	Dayton	211	ketteroh	67	114	4			1	6	0	0.17	0	0	.	.	0	.	.	.	0	.
39	113	Dayton	211	ketteroh	67	115	3			1	29	0	0.31	0	0.333333333	.	.	5	138.4615385	4.930592586	0	9	0.357142857
39	113	Dayton	211	ketteroh	67	116	3			1	64	0	0.34	0	0.9	10680.01669	9.276129675	15	93.71980676	4.540309552	0	5	0.75
39	113	Dayton	211	ketteroh	67	117	2			1	84	0	0.24	0	0.777777778	12841.21492	9.460415192	23	97.77777778	4.58269733	0	11	0.676470588
39	113	Dayton	211	ketteroh	67	119	1			1	43	0	0.26	0	0.882352941	13960.78431	9.544007558	15	.	.	0	2	0.882352941
39	113	Dayton	211	ketteroh	67	201	1	Y		1	55	0	0.22	0	0.636363636	12702.47229	9.449551922	16	60.81871345	4.107897529	0	6	0.727272727
39	113	Dayton	211	ketteroh	67	202	2	Y		1	311	0	0.29	0.009009009	0.459459459	12374.72767	9.423411581	62	58.58585859	4.070493346	0	47	0.568807339
39	113	Dayton	211	ketteroh	67	203	3	Y		1	310	0	0.27	0.008064516	0.338709677	.	.	49	57.14285714	4.045554398	0	75	0.39516129
39	113	Dayton	211	ketteroh	67	204	6	Y		1	80	0	0.3	0	0.290322581	.	.	10	57.77777778	4.056604234	0	21	0.322580645
39	113	Dayton	211	ketteroh	67	205	4	Y		1	50	0	0.38	0	0.222222222	.	.	11	55.81395349	4.022023901	0	7	0.611111111
39	113	Dayton	211	ketteroh	67	206	2	Y		1	70	0	0.19	0.03030303	0.272727273	.	.	19	53.74677003	3.984283573	0	14	0.575757576
39	113	Dayton	211	ketteroh	67	208	5	Y		1	303	1	0.26	0.009259259	0.259259259	.	.	57	57.45257453	4.050959817	0	50	0.53271028
39	113	Dayton	211	ketteroh	67	209	6	Y		1	269	0	0.31	0.05	0.41	13992.86988	9.546303184	63	57.14285714	4.045554398	0	36	0.636363636
39	113	Dayton	211	ketteroh	67	301	5			1	78	0	0.42	0	1	11764.70588	9.372859301	18	107.3170732	4.675787753	0	7	0.72
39	113	Dayton	211	ketteroh	67	302	5			1	69	0	0.29	0.041666667	1	12549.01961	9.437397823	22	.	.	0	2	0.916666667
39	113	Dayton	211	ketteroh	67	303	3			1	136	0	0.39	0.027027027	1	12394.95798	9.425045055	30	98.41269841	4.589169845	0	7	0.810810811
39	113	Dayton	211	ketteroh	67	304	3			1	64	0	0.3	0.045454545	1	12313.72549	9.418469813	21	.	.	0	1	0.954545455
39	113	Dayton	211	ketteroh	67	305	4			1	66	0	0.36	0.045454545	1	13285.31413	9.494414503	18	.	.	0	4	0.818181818
39	113	Dayton	211	ketteroh	67	306	2			1	48	0	0.13	0.043478261	1	12477.71836	9.431699801	18	95.37037037	4.557767947	0	5	0.782608696
39	113	Dayton	211	ketteroh	67	307	1			1	37	0	0.41	0.066666667	1	12676.69859	9.44752083	14	.	.	0	1	0.933333333
39	113	Dayton	211	ketteroh	67	308	1			1	17	0	0.41	0	1	.	.	4	.	.	0	1	0.8
39	113	Dayton	211	ketteroh	67	309	1			1	25	0	0.32	0	1	12134.66519	9.403821527	9	.	.	0	0	1
39	113	Dayton	211	ketteroh	67	310	1	Y		1	471	0	0.3	0.011235955	0.426966292	12055.19245	9.397250755	66	120.7977208	4.794117418	0.006228571	109	0.377142857
39	113	Dayton	211	ketteroh	67	311	4	Y		1	207	0	0.27	0.022727273	0.295454545	13689.83957	9.5244092	19	120.7977208	4.794117418	0	67	0.220930233
39	113	Dayton	211	ketteroh	67	312	3	Y		1	253	0	0.27	0.009259259	0.111111111	.	.	0	111.6809117	4.715645802	0	107	0
39	113	Dayton	211	ketteroh	67	313	3			1	245	0	0.27	0	0.093457944	.	.	1	116.9590643	4.761823996	0	103	0.009615385
39	113	Dayton	211	ketteroh	67	314	3			1	93	0	0.24	0.022727273	0.090909091	.	.	0	114.619883	4.741621289	0	42	0
39	113	Dayton	211	ketteroh	67	315	5			1	94	0	0.23	0	0.0625	.	.	0	113.4502924	4.731364789	0	46	0
39	113	Dayton	212	ketteroh	67	101	7	Y		1	509	0	0.36	0.021621622	0.675675676	15098.03922	9.622320161	93	192.5925926	5.260577039	0	80	0.537572254
39	113	Dayton	212	ketteroh	67	102	7			1	92	0	0.51	0.047619048	1	14047.41001	9.550193317	21	.	.	0	0	1
39	113	Dayton	212	ketteroh	67	103	7			1	49	0	0.31	0.071428571	1	14200.83185	9.561055823	13	.	.	0	1	0.928571429
39	113	Dayton	212	ketteroh	67	104	8			1	51	0	0.45	0	1	14781.29713	9.601117953	12	.	.	0	0	1
39	113	Dayton	212	ketteroh	67	105	7	Y		1	208	0	0.4	0	1	16456.58263	9.708480836	54	.	.	0	2	0.964285714
39	113	Dayton	212	ketteroh	67	106	2			1	102	0	0.4	0.083333333	1	12844.55811	9.460675507	24	.	.	0	0	1
39	61	Cincinnati	60	cincinoh	68	109	4			1	108	0	0.43	0.052631579	0.131578947	11215.68627	9.325068638	10	103.7037037	4.64153783	0	23	0.303030303
39	61	Cincinnati	60	cincinoh	68	111	6			1	93	0	0.3	0	0.121212121	.	.	5	111.1111111	4.710530702	0	28	0.151515152
39	61	Cincinnati	60	cincinoh	68	209	8	Y		1	133	0	0.35	0.02173913	0.347826087	10728.81983	9.280688842	24	103.3033033	4.637669353	0	18	0.571428571
39	61	Cincinnati	60	cincinoh	68	210	7	Y		1	107	0	0.27	0.025641026	0.435897436	12490.92229	9.432757443	22	105.2631579	4.65646348	0	15	0.594594595
39	61	Cincinnati	60	cincinoh	68	211	7	Y		1	41	0	0.46	0.076923077	0.153846154	.	.	3	104.1269841	4.645611156	0	10	0.230769231
39	61	Cincinnati	60	cincinoh	68	301	4			1	26	0	0.15	0	0.545454545	11038.48947	9.309143487	9	.	.	0	1	0.9
39	61	Cincinnati	60	cincinoh	68	302	7			1	98	0	0.2	0.043478261	0.239130435	11359.02637	9.337767982	12	103.7037037	4.64153783	0	29	0.292682927
39	61	Cincinnati	60	cincinoh	68	308	8			1	99	0	0.25	0.029411765	0.617647059	11474.21932	9.347857999	23	83.83838384	4.428890944	0	11	0.676470588
39	61	Cincinnati	60	cincinoh	68	309	7			1	68	0	0.24	0.0625	0.34375	10634.76238	9.271883384	14	94.73684211	4.551102965	0	16	0.466666667
39	61	Cincinnati	60	cincinoh	68	401	3			1	119	0	0.35	0.048780488	0.365853659	11610.91888	9.359701217	16	101.2345679	4.617440279	0	25	0.390243902
39	61	Cincinnati	60	cincinoh	68	402	1			1	127	0	0.39	0	0.512820513	10574.22969	9.266175159	26	91.16809117	4.512704958	0	13	0.666666667
39	61	Cincinnati	60	cincinoh	68	403	1			1	64	0	0.25	0.04	0.52	10656.43649	9.273919354	14	94.05684755	4.543899361	0	10	0.583333333
39	61	Cincinnati	60	cincinoh	68	404	2			1	188	1	0.26	0.027777778	0.583333333	11172.771	9.321234936	45	88.88888889	4.48738715	0	26	0.633802817
39	61	Cincinnati	60	cincinoh	68	405	3			1	60	0	0.18	0.034482759	0.689655172	11690.71402	9.366550132	21	.	.	0	5	0.807692308
39	61	Cincinnati	60	cincinoh	68	406	4			1	132	0	0.32	0	0.577777778	10965.86783	9.302542803	29	98.64498645	4.59152741	0	16	0.644444444
39	61	Cincinnati	60	cincinoh	68	407	5			1	146	1	0.34	0.02	0.6	10695.18717	9.277549122	28	104.0650407	4.645016095	0	20	0.583333333
39	61	Cincinnati	60	cincinoh	68	408	6			1	148	0	0.28	0	0.230769231	10724.28972	9.280266515	19	114.1141141	4.737198949	0	43	0.306451613
39	61	Cincinnati	226	wyominoh	68	304	8			1	31	0	0.45	0	1	14504.43191	9.582209531	7	.	.	0	1	0.875
39	61	Cincinnati	226	wyominoh	68	305	8			1	26	0	0.35	0	0.777777778	12894.64939	9.464567728	7	.	.	0	2	0.777777778
39	61	Cincinnati	226	wyominoh	68	306	8			1	62	0	0.29	0	0	.	.	0	64.32748538	4.163986995	0	26	0
39	61	Cincinnati	226	wyominoh	68	307	7			1	28	0	0.04	0	0.428571429	11044.41777	9.3096804	9	95.0617284	4.554526453	0	5	0.642857143
39	61	Cincinnati	226	wyominoh	68	308	7			1	60	0	0.35	0.15	0.4	13664.21569	9.522535701	8	100.2849003	4.608015138	0	12	0.4
39	61	Cincinnati	226	wyominoh	68	309	7			1	54	0	0.35	0	0.466666667	10084.03361	9.218708622	8	82.53968254	4.413279178	0	7	0.533333333
39	61	Cincinnati	226	wyominoh	68	401	6			1	49	0	0.45	0	1	12901.39244	9.465090526	12	.	.	0	0	1
39	61	Cincinnati	226	wyominoh	68	402	6			1	47	0	0.26	0	0.875	10834.16417	9.29045977	15	.	.	0	1	0.9375
39	61	Cincinnati	226	wyominoh	68	403	4			1	118	0	0.28	0.054054054	0.918918919	12141.77979	9.404407659	34	.	.	0.027567568	3	0.918918919
39	61	Cincinnati	226	wyominoh	68	404	4			1	142	0	0.25	0	0.6875	13119.42959	9.481849585	33	117.7177177	4.768289536	0	15	0.6875
39	61	Cincinnati	226	wyominoh	68	405	3			1	47	0	0.13	0	0.777777778	12578.61635	9.439753536	15	.	.	0	3	0.833333333
39	61	Cincinnati	226	wyominoh	68	406	1	Y		1	112	0	0.24	0	0.615384615	12207.46363	9.409802817	27	97.56097561	4.580477573	0	12	0.692307692
39	61	Cincinnati	226	wyominoh	68	407	1			1	73	0	0.29	0	0.75	12642.66901	9.444832801	16	119.1919192	4.78073496	0	8	0.666666667
39	61	Cincinnati	226	wyominoh	68	408	2	Y		1	130	0	0.41	0	0.810810811	13677.66619	9.523519576	28	76.59574468	4.338541523	0	9	0.756756757
39	61	Cincinnati	226	wyominoh	68	501	6	Y		1	68	0	0.52	0	0.866666667	15178.77739	9.627653507	14	.	.	0	1	0.933333333
39	61	Cincinnati	226	wyominoh	68	502	7			1	39	0	0.33	0	0.769230769	20773.71489	9.941443759	11	.	.	0	2	0.846153846
39	61	Cincinnati	226	wyominoh	68	503	6	Y		1	74	0	0.43	0	0.9	16742.08145	9.725680676	17	.	.	0	2	0.894736842
39	61	Cincinnati	226	wyominoh	68	504	5			1	48	0	0.33	0	0.722222222	18558.40928	9.828678296	14	.	.	0	4	0.777777778
39	61	Cincinnati	226	wyominoh	68	505	4			1	63	0	0.27	0	0.904761905	16839.67705	9.73149311	19	.	.	0	2	0.904761905
39	61	Cincinnati	226	wyominoh	68	506	2			1	74	0	0.31	0	0.793103448	14014.78624	9.547868211	26	.	.	0	3	0.896551724
39	61	Cincinnati	226	wyominoh	68	708	8			1	74	0	0.38	0	0.6	15421.8991	9.643543798	9	116.9590643	4.761823996	0	11	0.45
39	35	Cleveland	1011	cleveloh	24	305	6			1	743	0	0.12	0.006802721	0.054421769	12490.92229	9.432757443	42	163.8095238	5.098704313	0.017975904	373	0.101204819
39	35	Cleveland	1011	cleveloh	24	402	8			1	245	0	0.31	0	0.1625	14063.55646	9.551342082	30	89.76034858	4.497143325	0	49	0.379746835
39	35	Cleveland	1011	cleveloh	24	403	7			1	228	0	0.34	0.025641026	0.153846154	12628.78033	9.443733641	32	91.50326797	4.516374687	0	43	0.426666667
39	35	Cleveland	1011	cleveloh	24	404	6			1	167	0	0.35	0	0.274509804	12377.45098	9.423631627	28	91.14877589	4.512493071	0	23	0.549019608
39	35	Cleveland	1011	cleveloh	24	405	5			1	70	0	0.41	0.052631579	0.473684211	9750.927398	9.185117677	13	73.14814815	4.292486811	0	6	0.684210526
39	35	Cleveland	1011	cleveloh	24	406	5			1	66	0	0.21	0.037037037	0	.	.	4	105.6790123	4.660406314	0	23	0.148148148
39	35	Cleveland	1011	cleveloh	24	407	4			1	30	0	0.1	0	0	.	.	0	98.86621315	4.593767554	0	17	0
39	35	Cleveland	1011	cleveloh	24	408	4			1	82	0	0.37	0.095238095	0.476190476	9422.657952	9.150872488	11	96.73202614	4.571944538	0	10	0.523809524
39	35	Cleveland	1011	cleveloh	24	501	3			1	111	0	0.26	0	0.166666667	9031.491384	9.108472792	11	103.4188034	4.638786797	0	29	0.275
39	35	Cleveland	1011	cleveloh	24	502	2			1	199	0	0.3	0.04109589	0.232876712	11622.10339	9.360664028	20	92.6713948	4.529059847	0	48	0.294117647
39	35	Cleveland	1011	cleveloh	24	503	2			1	107	0	0.32	0	0.424242424	8678.881389	9.068647927	22	85.47008547	4.448166437	0	11	0.666666667
39	35	Cleveland	1011	cleveloh	24	504	1			1	53	0	0.21	0	0.238095238	13637.69388	9.520592847	7	71.11111111	4.264243599	0	14	0.333333333
39	35	Cleveland	1011	cleveloh	24	505	1			1	76	0	0.18	0.052631579	0.368421053	13512.87503	9.511398216	9	109.2063492	4.693239205	0	26	0.257142857
39	35	Cleveland	1011	cleveloh	24	506	3			1	297	0	0.16	0.06547619	0.053571429	12110.72664	9.401846838	12	219.5286195	5.391482609	0	144	0.076923077
39	35	Cleveland	1011	cleveloh	24	601	4			1	352	1	0.1	0.01980198	0.00990099	.	.	1	140.952381	4.94842211	0.00994898	195	0.005102041
39	35	Cleveland	1011	cleveloh	24	602	6			1	485	0	0.1	0.01056338	0.102112676	17647.05882	9.77832441	26	142.9429429	4.96244555	0	254	0.092857143
39	35	Cleveland	1011	cleveloh	24	605	6			1	99	0	0.25	0	1	21176.47059	9.960645966	31	.	.	0	1	0.96875
39	35	Cleveland	1011	cleveloh	24	606	3			1	86	0	0.3	0	1	21666.66667	9.98353026	28	.	.	0	1	0.965517241
39	35	Cleveland	1011	cleveloh	24	701	1			1	32	0	0.19	0	1	30065.35948	10.31112894	12	.	.	0	0	1
39	35	Cleveland	1011	cleveloh	24	702	1			1	159	1	0.21	0	0.962962963	24294.59589	10.09800921	50	.	.	0	4	0.925925926
39	35	Cleveland	1011	cleveloh	24	703	3			1	50	0	0.3	0	0.941176471	19838.52364	9.895380965	15	.	.	0	2	0.882352941
39	35	Cleveland	1013	cleveloh	24	101	6			1	45	0	0.29	0	0.058823529	.	.	8	91.50326797	4.516374687	0	8	0.5
39	35	Cleveland	1013	cleveloh	24	105	5			1	101	0	0.21	0	0	.	.	1	109.8765432	4.699357401	0	54	0.018181818
39	35	Cleveland	1013	cleveloh	24	106	5			1	103	0	0.28	0	0.457142857	8650.519031	9.065374602	20	80	4.382026635	0	15	0.571428571
39	35	Cleveland	1013	cleveloh	24	107	4			1	166	0	0.21	0	0.243589744	9855.521156	9.195787101	17	112.9129129	4.726616839	0	58	0.226666667
39	35	Cleveland	1013	cleveloh	24	108	4			1	161	0	0.16	0	0.011235955	.	.	1	137.1428571	4.921023135	0	88	0.011235955
39	35	Cleveland	1013	cleveloh	24	109	3			1	258	0	0.23	0	0.221311475	9897.29225	9.200016489	35	140.5017921	4.945220244	0	83	0.296610169
39	35	Cleveland	1013	cleveloh	24	110	2			1	131	0	0.24	0	0.166666667	10235.95879	9.233662171	18	128.3950617	4.85511193	0	41	0.305084746
