Statefip	County	SMSA	Tract	Jurcode	Borderno	Block	tierno	oddshape	tracks	pairno	pop_tot_block	flaggq	perund18	pernoplumb	persingfam	peroo	valprm	lnvalprm	ct4_ooval	rentprm	lnrentprm	perblack	av_rooms_oo	av_value	av_rooms_rt	av_rent	ct2_occ
39	113	Dayton	0054	daytonoh	67	412	1			1	29	0	0.21	0	1	1	15424.8366	9.643734256	10	.	.	0	6	23600	0	0	10
39	113	Dayton	0054	daytonoh	67	413	1	Y		1	56	0	0.34	0	0.777777778	0.777777778	15626.8568	9.656746303	14	.	.	0	6.6	26300	0	0	18
39	113	Dayton	0209	ketteroh	67	101	1	Y		1	272	0	0.28	0	0.366336634	0.297029703	14401.62272	9.575096168	30	125.60	4.833133024	0	5.8	21300	4.6	130	101
39	113	Dayton	0209	ketteroh	67	102	1			1	34	0	0	0	0	0	.	.	0	112.66	4.724387736	0	0	0	4.3	109	21
39	113	Dayton	0210	ketteroh	67	101	1	Y		1	165	0	0.33	0	0.963636364	0.909090909	14775.91036	9.600753456	50	.	.	0	5.6	21100	5.4	0	55
39	113	Dayton	0210	ketteroh	67	102	1			1	88	0	0.39	0	1	0.8	12549.01961	9.437397823	20	.	.	0	5.5	17600	0	0	25
39	113	Dayton	0210	ketteroh	67	109	1			1	17	0	0.35	0	1	1	16209.15033	9.693331197	5	.	.	0	6	24800	0	0	5
39	113	Dayton	0210	ketteroh	67	110	1	Y		1	77	0	0.29	0	0.774193548	0.709677419	15067.07946	9.620267475	22	150.79	5.015912351	0	5.7	21900	2.8	95	31
39	113	Dayton	0210	ketteroh	67	113	1	Y		1	81	1	0.1	0	0.380952381	0.285714286	13184.58418	9.486803561	12	145.45	4.979863635	0	5.8	19500	3.3	108	42
39	113	Dayton	0211	ketteroh	67	101	1	Y		1	77	0	0.34	0.076923077	1	0.769230769	10084.03361	9.218708622	20	88.89	4.48738715	0	4.9	12600	4.7	94	26
39	113	Dayton	0211	ketteroh	67	102	1			1	26	0	0.35	0	1	0.7	11921.56863	9.386104528	7	.	.	0	5	15200	0	0	10
