"pid","year","p.sec","p.gvn","pname"
150000,2010,"胡春华","巴特尔","内蒙古自治区"
220000,2010,"孙政才","王儒林","吉林省"
330000,2010,"赵洪祝","吕祖善","浙江省"
450000,2010,"郭声琨","马飚","广西壮族自治区"
460000,2010,"卫留成","罗保铭","海南省"
540000,2010,"张庆黎","白玛赤林","西藏自治区"
640000,2010,"陈建国","王正伟","宁夏回族自治区"
370000,2011,"姜异康","姜大明","山东省"
520000,2011,"栗战书","赵克志","贵州省"
410000,2011,"卢展工","郭茂庚","河南省"
340000,2011,"张宝顺","王三运","安徽省"
110000,2011,"刘淇","郭金龙","北京市"
130000,2011,"张云川","陈全国","河北省"
610000,2011,"赵乐际","赵正永","陕西省"
310000,2011,"俞正声","韩正","上海市"
620000,2011,"陆浩","刘伟平","甘肃省"
320000,2011,"罗志军","李学勇","江苏省"
420000,2011,"李鸿忠","王国生","湖北省"
360000,2011,"苏荣","吴新雄","江西省"
350000,2011,"孙春兰","黄小晶","福建省"
440000,2011,"汪洋","黄华华","广东省"
120000,2011,"张高丽","黄兴国","天津市"
650000,2011,"张春贤","努尔·白克力","新疆维吾尔自治区"
430000,2011,"周强","徐守盛","湖南省"
500000,2011,"薄熙来","黄奇帆","重庆市"
230000,2011,"吉炳轩","王宪魁","黑龙江省"
530000,2011,"白恩培","秦光荣","云南省"
210000,2011,"王珉","陈政高","辽宁省"
510000,2011,"刘奇葆","蒋巨峰","四川省"
140000,2011,"袁纯清","王君","山西省"
630000,2011,"强卫","骆惠宁","青海省"
150000,2011,"胡春华","巴特尔","内蒙古自治区"
220000,2011,"孙政才","王儒林","吉林省"
330000,2011,"赵洪祝","吕祖善","浙江省"
450000,2011,"郭声琨","马飚","广西壮族自治区"
460000,2011,"卫留成","罗保铭","海南省"
540000,2011,"张庆黎","白玛赤林","西藏自治区"
640000,2011,"张毅","王正伟","宁夏回族自治区"
370000,2012,"姜异康","姜大明","山东省"
520000,2012,"栗战书","赵克志","贵州省"
410000,2012,"卢展工","郭茂庚","河南省"
340000,2012,"张宝顺","李斌","安徽省"
110000,2012,"刘淇","郭金龙","北京市"
130000,2012,"张庆黎","张庆伟","河北省"
610000,2012,"赵乐际","赵正永","陕西省"
310000,2012,"俞正声","韩正","上海市"
620000,2012,"王三运","刘伟平","甘肃省"
320000,2012,"罗志军","李学勇","江苏省"
420000,2012,"李鸿忠","王国生","湖北省"
360000,2012,"苏荣","鹿心社","江西省"
350000,2012,"孙春兰","苏树林","福建省"
440000,2012,"汪洋","朱小丹","广东省"
120000,2012,"张高丽","黄兴国","天津市"
650000,2012,"张春贤","努尔·白克力","新疆维吾尔自治区"
430000,2012,"周强","徐守盛","湖南省"
500000,2012,"薄熙来","黄奇帆","重庆市"
230000,2012,"吉炳轩","王宪魁","黑龙江省"
530000,2012,"秦光荣","李纪恒","云南省"
210000,2012,"王珉","陈政高","辽宁省"
510000,2012,"刘奇葆","蒋巨峰","四川省"
140000,2012,"袁纯清","王君","山西省"
630000,2012,"强卫","骆惠宁","青海省"
150000,2012,"胡春华","巴特尔","内蒙古自治区"
220000,2012,"孙政才","王儒林","吉林省"
330000,2012,"赵洪祝","夏宝龙","浙江省"
450000,2012,"郭声琨","马飚","广西壮族自治区"
460000,2012,"罗保铭","蒋定之","海南省"
540000,2012,"陈全国","白玛赤林","西藏自治区"
640000,2012,"张毅","王正伟","宁夏回族自治区"
370000,2013,"姜异康","姜大明","山东省"
520000,2013,"赵克志","陈敏尔","贵州省"
410000,2013,"卢展工","郭茂庚","河南省"
340000,2013,"张宝顺","李斌","安徽省"
110000,2013,"郭金龙","王安顺","北京市"
130000,2013,"张庆黎","张庆伟","河北省"
610000,2013,"赵正永","娄勤俭","陕西省"
310000,2013,"韩正","杨雄","上海市"
620000,2013,"王三运","刘伟平","甘肃省"
320000,2013,"罗志军","李学勇","江苏省"
420000,2013,"李鸿忠","王国生","湖北省"
360000,2013,"苏荣","鹿心社","江西省"
350000,2013,"尤权","苏树林","福建省"
440000,2013,"胡春华","朱小丹","广东省"
120000,2013,"孙春兰","","天津市"
