"distid","distname","regcommand","fraudchi2_total","est_fraud_share","fraudchi2_k","fraudchi2_a","v.elday.pc","v.elday.pc.2","v.2months.pc","v.2months.pc.2","v.elday.pc.lag","numclosedstations","electrified","pce_1000_07","distkabul","elevation"
1308,"Khost Wa Firing",3,0,0.0978289023041725,0,0,0,0,0,0,0,8,0.458333313465118,9.88002109527588,159.106746170079,3111.84985351562
1309,"Nahrin",3,0,0.0686281993985176,0,0,0,0,0,0,0.0057145727244215,3,0.265625,4.54540586471558,162.252185617968,1461.9658203125
1310,"Burka",3,0,0.0345948003232479,0,0,0,0,0.0126500613527976,0.000160024052229542,0.00449747291983624,0,0.025000000372529,5.00064182281494,189.068617376143,1637.4130859375
1311,"Baghlani Jadid",3,0,0.039460800588131,0,0,0.0237495843822733,0.00056404275833072,0.0771861492423883,0.00595770163486823,0.00243905413480652,52,0.257352888584137,4.65737676620483,205.219205745363,810.765747070312
1312,"Dih Salah",3,0,0.112348698079586,1,0,0,0,0.0307323519468945,0.00094447745618779,0,1,0,8.00601387023926,135.790891981792,2555.39404296875
1313,"Farang Wa Gharu",3,0,0.0256409998983145,0,0,0,0,0,0,0,0,0.4375,6.45878314971924,184.210393892384,2732.10766601562
1314,"Guzargahi Nur",3,0,0.12972030043602,0,0,0,0,0,0,0,0,0,6.56901502609253,192.234931362532,2644.12963867188
1315,"Khwaja Hijran (Jilga Nahrin)",3,0,0.134450897574425,0,0,0,0,0,0,0,2,0.0833332985639572,5.06950616836548,160.231211302446,2411.36010742188
1401,"Kunduz",3,0,0.0154010998085141,0,0,0.0233436391177142,0.000544925487258076,0.108936982549333,0.0118672661669537,0.00748484743661271,60,0.7540323138237,7.65906000137329,253.153799071393,410.27392578125
1402,"Imam Sahib",3,0,0,0,0,0,0,0.00642145278947909,4.12350559275088e-05,0.0128561701558504,47,0.0815216973423958,5.73926401138306,287.467277914724,417.8134765625
1403,"Qalay-I- Zal",3,0,0,0,0,0,0,0.021143884131515,0.00044706383616693,0.0113237815827432,14,NA,NA,272.697090779448,366.683013916016
1404,"Chahar Dara",3,0,0,0,0,0.0219514872132587,0.00048186779087386,0.241466359345846,0.0583060026957371,0.0094186446999975,30,0.354166686534882,5.24366283416748,242.080716694958,550.372985839844
1405,"Aliabad",3,0,0.0307691991329193,0,0,0,0,0.0646170149523773,0.00417535862135575,0.0153554873539653,20,0.458333313465118,5.83907318115234,223.150896598082,585.169982910156
1406,"Khanabad",3,0,0.0315461009740829,0,1,0.00773272605658036,5.97950522661168e-05,0.0386636302829018,0.00149487630665292,0.00642808507792523,5,0.298076897859573,5.83381986618042,230.588365223878,850.315063476562
1407,"Dashte Archi",3,1,0.0338636003434658,0,0,0.0152248713498371,0.00023179670761909,0.0228373070247556,0.000521542592142953,0.00517939419571577,45,0.140625,6.10532999038696,271.249680414408,535.319152832031
1501,"Aybak",3,0,0.0681399032473564,0,0,0,0,0.0216083840530126,0.000466922261382488,0.00395826406371223,1,0.625,4.42387676239014,215.967080613414,1481.10217285156
1502,"Hazrati Sultan",3,0,0.010733500123024,0,0,0,0,0,0,0.00593739609556833,1,0,3.5357940196991,238.728083143406,1050.66809082031
1503,"Dara-I-Sufi Bala",3,0,0.0112853003665805,0,0,0,0,0.0160305221141053,0.000256977639250818,0.0107563892952414,2,0.25,2.66353392601013,213.426806874527,2662.56030273438
1504,"Dara-I-Sufi Payin",3,0,0.069317102432251,0,0,0,0,0,0,0,1,0.238636404275894,2.63102102279663,235.453741490067,1690.4462890625
1505,"Ruyi Du Ab",3,0,0.0403995998203754,0,1,0,0,0.0167773974901013,0.000281481066540859,0.0160981610543645,0,0.025000000372529,2.7491569519043,173.227908550882,2726.83447265625
1506,"Khuram Wa Sarbagh",3,0,0.0470941998064518,0,0,0,0,0,0,0.00395826406371223,0,0.333333313465118,3.42231392860413,187.949937201841,2070.24853515625
1507,"Feroz Nakhchir",3,0,0.32193261384964,0,0,0,0,0,0,0,0,0.75,2.48485589027405,257.459592300127,1391.01416015625
1601,"Mazari Sharif",3,0,0,0,0,0,0,0,0,0,0,0.940625011920929,3.09466004371643,304.842332953232,368.399993896484
1602,"Nahri Shahi",3,0,0.041958000510931,0,0,0,0,0.0277118338767932,0.000767945736814982,0,3,0.71875,2.46886301040649,313.341741804303,372.429992675781
1603,"Zari",3,0,0.135821104049683,0,1,0,0,0,0,0,0,0.125,2.84110903739929,265.454130156296,1946.32653808594
1604,"Shortepa",3,0,0,0,0,0,0,0.0148376758264585,0.000220156623931072,0,0,0.666666686534882,2.59572601318359,368.184265621514,275.720489501953
1605,"Dawlatabad",3,0,0,0,0,0,0,0,0,0.0015180634368349,2,0,3.87543702125549,352.94567863715,290.412933349609
1606,"Balkh",3,0,0.0184765998274088,0,0,0,0,0.0121144573934533,0.000146760077937796,0.00182167612420188,3,0.555555582046509,5.02893495559692,326.38496189096,327.297943115234
1607,"Chahar Bolak",3,0,0.0958662033081055,0,1,0.00910838062100939,8.29625975371794e-05,0.0728670449680751,0.00530960624237948,0,10,0.125,2.91959095001221,343.113809151326,318.994995117188
1608,"Chimtal",3,0,0.0638665035367012,1,0,0,0,0.0261625321145082,0.000684478086642671,0.00130119723157277,1,0.0375000014901161,1.88231003284454,320.91722393331,783.535583496094
1609,"Sholgara",3,0,0.0104106003418565,0,1,0,0,0.0172192120488566,0.00029650126358349,0,2,0.449999988079071,2.96913409233093,287.112195003369,883.448669433594
1610,"Kishindih",3,0,0.11694560199976,0,0,0,0,0,0,0,4,0.291666686534882,1.79981899261475,261.087916343524,1373.79382324219
1611,"Chahar Kint",3,0,0,0,0,0,0,0,0,0,0,0.15625,2.952476978302,269.720541230669,1755.28259277344
