Name	County	State	jurcode	SMSA	no electronic	poptot	popbl	pop_spanlan	popfb	pop2g	pers_25+	num_nosch	num_14yr	num_4hs	num_4col	meded	famtot	fam1000	fam1999	fam2999	fam3999	fam4999a	fam5999	fam6999a	fam7999	fam8999	fam9999a	fam11999	fam14999a	fam24999a	fam49999	fam50000	fammedinc	fambelowpov	proptax	expgen_ce	exped_ce	exphig_ce	exppol	expsew_ce	expsan	exppark	expint	AMR_1quart	AMR_Med	AMR_3quart
Chicago	Cook	IL	chicagil	Chicago	N	.	.	247343	.	627063	.	.	.	.	.	.	.	22385	21885	.	34611	.	43105	.	51925	55592	.	108214	.	.	31087	.	.	.	.	382932	29	29110	105070	7761	32924	5296	26900	28.1	35.8	41.6
Cicero	Cook	IL	ciceroil	Chicago	N	.	5	890	.	15718	.	.	.	.	.	.	.	225	292	.	545	.	637	.	1183	1397	.	3341	.	.	456	.	.	.	.	3504	0	291	886	118	506	36	220	31.5	36.6	42.1
Cincinnati	Hamilton	OH	cincinoh	Cincinnati	N	.	.	2680	.	29263	.	.	.	.	.	.	.	3007	4311	.	5775	.	6988	.	7964	8067	.	13025	.	.	3848	.	.	.	.	93100	30725	3585	8731	2382	4121	9051	1115	37.9	44.4	48.6
Clairton	Alleghany	PA	clairtpa	Pittsburgh	Y	15051	3773	59	952	3325	8770	253	510	3237	292	11.4	3992	87	119	230	196	291	193	262	332	433	262	642	508	362	69	6	8661	427	1059	1158	0	231	180	24	71	121	50	.	41.5	.
Cleveland	Cuyahoga	OH	cleveloh	Cleveland	N	.	.	13972	.	108123	.	.	.	.	.	.	.	8119	6795	.	9077	.	9462	.	12783	15164	.	25509	.	.	3075	.	.	.	.	78873	28	7089	19990	3722	9176	8462	4424	30.6	33.3	38.5
Cleveland Heights	Cuyahoga	OH	cleheioh	Cleveland	N	.	.	827	.	14421	.	.	.	.	.	.	.	162	220	.	401	.	583	.	629	795	.	1735	.	.	1734	.	.	.	.	3721	0	509	621	421	455	137	126	30.3	34.2	38.8
Clifton	Passaic	NJ	cliftonj	New York City	N	.	267	1227	.	28534	.	.	.	.	.	.	.	197	287	.	521	.	698	.	1150	1573	.	3573	.	.	1426	.	.	.	.	12946	6853	448	1245	428	373	338	488	.	86.4	.
Compton	Los Angeles	CA	comptoca	Los Angeles	N	.	.	9908	.	5227	.	.	.	.	.	.	.	671	657	.	961	.	1087	.	1143	1487	.	2149	.	.	263	.	.	.	.	4386	1	935	1369	47	88	303	0	16.4	18.6	21.3
Cranston	Providence	RI	cranstri	Providence	N	.	.	433	.	22141	.	.	.	.	.	.	.	250	258	.	487	.	866	.	1202	1499	.	2672	.	.	789	.	.	.	.	12610	6986	856	918	298	277	108	829	.	57.5	.
Dayton	Montgomery	OH	daytonoh	Dayton	N	.	.	1366	.	227612	.	.	.	.	.	.	.	1581	1914	.	2596	.	3218	.	4002	4503	.	7807	.	.	1446	.	.	.	.	24233	0	1922	4207	1000	2391	2291	1659	30.8	38.5	43.4
Dearborn	Wayne	MI	dearbomi	Detroit	N	.	13	1544	.	28840	.	.	.	.	.	.	.	295	383	.	781	.	860	.	1174	1331	.	3409	.	.	2233	.	.	.	.	13392	0	1587	1728	581	852	2589	385	.	16.7	.
